title;locations;company;experience;work_location;employment;description;skills;salary;url;type_of_work;date
Дежурный инженер;Moscow;CBRE;None;None;               Постоянная работа     ;— the workplace contributes to business results, whether it’s an office, a retail outlet, a laboratory, a data centre... with a globally balanced core business — Facilities Management (FM), Occupier Advisory & Transaction Services (A&T), Data Centre...;"  Оформление по ТК РФ;   Белая заработная плата;   График работы 1/3 с 8.00 до 8.00.   Разъездной характер работ (в пределах Москвы и Московской области).  ";61710 (M, RUB);https://jobviewtrack.com/en-gb/job-1e1841fdb9b4dabe91a5a3b2e8b1d3b6eef0cd48b9ebfa96ed9bfdd1bfd3f7c1f1e36ab1f6b7d8f0c2b8dca397fb88fcad66bffaf7c1f0d5b9e2bfe7b59da5e3b9ca2b190c19195059/0a16cb6cdb4d0903df33705534e4c8ea.html;               61 710 руб. в месяц     ;Fri, 13 Oct 2023 22:31:50 GMT
Инженер - проектировщик систем КИП, Автоматизации, АСУ / Designer for ICSS, Instrumentation, ICST;Moscow;Нова Энерджис;None;None;               Полная занятость     ;"and collection of initial data for design;  Survey of existing production facilities to collect initial data;  Work with Customers... on construction sites: pre-design survey, collection of initial data, field design and supervision;  review of documentation...";;Договорная (None_type, None_curr_c);https://jobviewtrack.com/en-gb/job-494941fdb5b4d2be91a495b3d5b1dbb6e500a4f2b9ebfab41dfdbdb4cebe8476f0fbb8dcbed1b595a4d5b9c6fbab1dfdb2b5efbe99a495b3d2b0ecb7ddf1f4b8d7a398fab4fd95b4d54ef7e4f0c2b8c26cb7fdf0c9b8dfa39ffb80fd98b5ef4ef7ebf1e3b8dfbed2b59aa5eab9cbfbabed93fdd6bee7f7ccf0d948b1f4b7fdf0eb6ab9ecfbabed93fdd1bfd4f6f6f0dbb9e1bed9b592a5e1b9cbfa911dfd8cb4d7bfa6a5a2b3ddb1d247b5b0a4dab8f1fa95ed91fdd4beecf7ccf0d4b8d1bfe1b598a4d06ba3b2fb80fd9bb4dabe9aa495b2e841bef8b4a0a4d6b9c6fa91ecaffddcbeeef7caf0d1b9e8bedfb59a54b8c8a392fabcfcafb4dabe9b7512525c555a51/571028220adc14fa37d6c4c79699fb30.html;               Постоянная работа     ;Tue, 03 Oct 2023 22:56:36 GMT
Инженер - проектировщик систем КИП, Автоматизации, АСУ / Designer for ICSS, Instrumentation, ICST;Saint Petersburg;Нова Энерджис;None;None;               Полная занятость     ;"and collection of initial data for design;  Survey of existing production facilities to collect initial dataWork with Customers... on construction sites: pre-design survey, collection of initial data, field design and supervision;  review of documentation...";"  design (stages of design and working documentation) of explosive objects;   preparation of initial technical requirements for the supply of complex equipment with complete instrumentation;   selection of instrumentation and coordination of vendor documentation on instrumentation;   review and approval of vendor documentation for complex equipment with complete instrumentation;   making major decisions on the project documents being developed, coordination with related departments;   preparation, assignment of tasks to related departments;   work on construction sites: pre-design survey, collection of initial data, field design and supervision;   review of documentation of subcontractors;   work with the Customer and supervisory authorities;   analysis of design solutions in terms of their cost-effectiveness and cost at all stages of creation;   Knowledge of: MS Office (Excel, Word, Outlook), AutoCAD, Eplan (preferably), Aveva diagrams, Aveva E3D, SPI, SPPID. Performing calculations of constricting devices and control valves, intrinsically safe circuits, voltage losses in cable lines;   English – B2.  ";Договорная (None_type, None_curr_c);https://jobviewtrack.com/en-gb/job-191c41fdb5b4d2be91a495b3d5b1dbb6e500a4f2b9ebfab41dfdbdb4cebe8476f0fbb8dcbed1b595a4d5b9c6fbab1dfdb2b5efbe99a495b3d2b0ecb7ddf1f4b8d7a398fab4fd95b4d54ef7e4f0c2b8c26cb7fdf0c9b8dfa39ffb80fd98b5ef4ef7ebf1e3b8dfbed2b59aa5eab9cbfbabed93fdd6bee7f7ccf0d948b1f4b7fdf0eb6ab9ecfbabed93fdd1bfd4f6f6f0dbb9e1bed9b592a5e1b9cbfa911dfd8cb4d7bfa6a5a2b3ddb1d247b5b0a4dab8f1fa95ed91fdd4beecf7ccf0d4b8d1bfe1b598a4d06ba3b2fb80fd9bb4dabe9aa495b2e841bef8b4a0a4d6b9c6fa91ecaffddcbeeef7caf0d1b9e8bedfb59a54b8c8a392fabcfcafb4dabe9b7512525b585e56/b6b44bc5265e11f019be6b1cc8558a12.html;               Постоянная работа     ;Tue, 03 Oct 2023 22:23:22 GMT
ICSS Package Engineer (Инженер по сопровождению поставщиков АСУТП);Saint Petersburg;Swift Technical;None;None;               Полная занятость     ;"System (CEMS), Analyzer Management and Data Acquisition System (AMADAS);  Taking part in the ICSS vendor selection process... System (MMS), Continuous Emission Monitoring System (CEMS), Analyzer Management and Data Acquisition System (AMADAS...";"  Permanent labor contract;   Work in office in Saint-Petersburg, 5/2, 40 hours per week;   Medical insurance;   Work on large-scale project within international team of professionals.  ";Договорная (None_type, None_curr_c);https://jobviewtrack.com/en-gb/job-181341fdb5b4d2be91a495b3d5b1dbb6e500a4d7b9cd0afb9cfd93b4d0bfa7a49eb3dab1d0b7d3f0c0b8dca397fb85fca366bff6f7c9f0d5b8d4bedab595a5e849a395fb830dfdf4bfcff7d7f0c1b8fe6cb7fdf0c9b8dfa39ffb80fd98b5ef4ef7cbf0dd6ab1f6b7d8f0c2b8dca397fb88fcad44bffef7d5f0c0b8c3bef867f0ecb8d4a39cfb88fd90b4dabfa754650d0f0800020052755a5840131b0c/909f054b038c1ad2237c90b4f0bddfa2.html;               Постоянная работа     ;Sun, 01 Oct 2023 22:24:51 GMT
Incoming Control Engineer E&I // Инженер входного контроля (Электрические приборы), г. Мурманск;Murmansk;Ренейссанс Хэви Индастрис;None;None;               Полная занятость     ;of the equipment’s received.  Select data for sampling.  Verify adherence to function specifications.  Monitor production...;;Договорная (None_type, None_curr_c);https://jobviewtrack.com/en-gb/job-124841fdb5b4d2be91a495b3d5b1dbb6e500a4fab8f6fa95ed99fdd9bfd0f7c7f0dd48b1f4b7dbf0c9b9eba2aafb83fd96b5e06c641b4e171a0e0247204e130107164f593ffdb5b4d2be91a495b3d5b1dbb6e500a4f2b9cdfa96ecaffce4bfd0f7cff1ec6ab1f6b7d8f0c2b8dca397fb88fcad442a00401d4e060d136cb7fdf0c9b8dfa39ffb80fd98b5ef6f154514525f50/d68523c142f2ba74f0baf5315ca69eb9.html;               Постоянная работа     ;Thu, 28 Sep 2023 22:47:21 GMT
eCommerce BI Solutions Engineer/ Старший инженер по разработке отчетности, Москва Ленинградский пр;Moscow - Leningradsky, Chukotka;PepsiCo;None;None;               Полная занятость     ;, references and hierarchies     Recognize and access required data from multiple databases using appropriate languages     Design... improvement and maintenance of business intelligence solutions     Design knowledge sharing of data excellence practices...;  Own business layer mapping, references and hierarchies  ;Договорная (None_type, None_curr_c);https://jobviewtrack.com/en-gb/job-4f4a41fdb5b4d2be91a495b3d5b1dbb6e500a4d7b9cd0afb9dfd9db4d8bfa7a490b3d9b1d0b6e7f0ceb8dc71fab3ed90fdd2bfdbf7c9f0d6b9e14eb7daf0ca6ab9d2fba9ed9dfce4bee6f7ccf0da48b1f6b7d8f0c2b8dca397fb88fcad66bff6f7c9f0d5b8d4bedab595a5e84936444c544348011d6cf7cbf0dd48b1ceb7d5f0c3b9e9a39afb8cfd93b5edbe9da495625a505a535116765a5e4418190d/fe1694fb3d8877a32503f6877f192918.html;               Постоянная работа     ;Thu, 24 Aug 2023 07:46:30 GMT
Старший инженер по работе с данными, Москва Ленинградский пр;Moscow - Leningradsky, Chukotka;PepsiCo;None;None;               Полная занятость     ;Job Description:   Обязанности:    Own development of ETL data pipelines, taking responsibility for designing, data... stakeholders, BI engineers, data analysts, data scientists, IT to deliver sustainable and quality results     Partner with Sector...;  Partner with Sector team to leverage global solutions and best practices  ;Договорная (None_type, None_curr_c);https://jobviewtrack.com/en-gb/job-1b1b41fd92b4d14ef7d4f0d3b8d0bed9b4a2a4dd49a2ab29edb5fdd9bfd8f7c1f0deb8d4bfe745f0cbb8d753fa8bed9dfdd5bfd0f6f6f0d66ab1f6b7d8f0c2b8dca397fb88fcad44bfd1f7ca22b3f0b1d3b7d3f0c1b8d4a39ffabd0dfce56dbe98a49e43b8c1bed7b591a4d6b8f1fa9e3c1f1c505b5a117612545f535c57/2a2eeca63ac5b773663658e6308a6987.html;               Постоянная работа     ;Thu, 24 Aug 2023 06:26:30 GMT
Главный инженер по кибербезопасности (Big Data);Moscow;СБЕР;None;None;               Полная занятость     ;".;  Бесплатный фитнес-зал;  Место работы: Кутузовский пр-т, 32    Требуется главный инженер по кибербезопасности (big data)   Главный... инженер   Сбер высокотехнологичная компания и крупнейший банк в России, Центральной и Восточной Европе. Мы собираем лучшие...";"  Навыки аналитической обработки информации из разнообразных источников;   Опыт моделирования угроз безопасности информации, формирования требований по защите информации в соответствии с требованиями нормативных правовых актов Фстэк России и Фсб России;   Понимание рисков и угроз Иб при использовании различных информационных технологий;   Знание основных методов и средств обеспечения Иб, принципов построения Ит-систем.  ";Договорная (None_type, None_curr_c);https://jobviewtrack.com/en-gb/job-124e41fdbeb4d4be97a492b3d5b0e5b7dc00a4f0b9cefa9ded98fdd9bfdbf6f400b3d7b1d065b5b3a4d3b9c3fa99ed90fcefbfd707a4b8b3d5b1d8b7d0f0c9b8dca2aa29edb5fdd9bfd8f7c1f0deb8d4bfe745f0cbb8d77168425a0d69051b0f253041170941beffb59da4deb9c6fa96ed98fce46e5c164014575e/42aed42dd9c27f48dd18bd22f55f128e.html;               Постоянная работа     ;Sat, 30 Sep 2023 22:58:50 GMT
Middle\Senior Дата-инженер (Data Engineer), Госуслуги;Saint Petersburg;РТ Лабс;None;None;               Полная занятость     ;"разработке Data Lake и хранилища данных;  Участие в разработке архитектуры, процессов и инструментов для работы с данными...";"  Участвовать в разработке Data Lake и хранилища данных;   Участие в разработке архитектуры, процессов и инструментов для работы с данными;   Обеспечение контроля качества данных, мониторинг, анализ и устранение проблем с качеством данных;   Помогать руководителю продукта с бэклогом и планированием задач на разработку.  ";Договорная (None_type, None_curr_c);https://jobviewtrack.com/en-gb/job-1f4f41694c100e4e621a470a06040b1567731106001c580b78434a0d010b420622b3f0b1d3b7d3f0c1b8d4a39ffabd0d680a0807491145116a250f130400a4f0b9cefa9ded98fdd9bfdbf6f422b3f0b1d3b7d3f0c1b8d4a39ffabd2c1f555c571745/8661500045d3709cfccb55c920dcb054.html;               Постоянная работа     ;Sat, 14 Oct 2023 22:02:53 GMT
Data Engineer / Дата-инженер (Middle);Tver - Moscow;Платформа Больших Данных;None;None;               Полная занятость     ;"данных"" – разрабатываем IT-   продукты для бизнеса на основе big data. Наша компания объединила данные и компетенции... основе bid data по различным направлениям: финансовые сервисы, геоаналитика и рекламные направления.   Сейчас мы находимся в...";;Договорная (None_type, None_curr_c);https://jobviewtrack.com/en-gb/job-1e1d41694c100e4e621a470a06040b1567f0ecb8d4a39cfb88fd90b4dabfa754650d0f0800020052762c08074b0bedb5fdd9bfd8f7c1f0deb8d4bfe767f0ecb8d4a39cfb88fd90b4dabfa776650d0f0800020052755a5840121c052f1f555b5a1342/d28766632da6848f27a561b9053eedae.html;               Постоянная работа     ;Fri, 13 Oct 2023 22:30:02 GMT
