Название вакансии	Название компании	Город	Зарплата	Опыт работы	Описание	Требования	Тип занятости	Ключевые навыки	Источник
Data Scientist (Распознавание речи)	АБК	Москва	Договорная	3–6 лет	Кто мы? Наша компания основана Сбером в 2013 году.  Четыре года назад под брендом VS Robotics мы запустили новое направление в сфере речевых технологий. С использованием отечественного ПО наша команда создает на базе AI технологичные продукты, которые помогают сокращать расходы на коммуникации с клиентами, повышают эффективность рабочих процессов и легко адаптируются под любые направления бизнеса. Наши флагманские продукты: робот-оператор, система речевой аналитики, распознавание речи и голосовой скоринг применяются в крупнейших компаниях России и СНГ. Сегодня мы являемся аккредитованной IT-компанией и входим в перечень системообразующих организаций, ведущих деятельность в сфере информационных технологий. По итогам 2020 и 2021 года по версии портала Cnews мы входим в ТОП-3 крупнейших игроков России в области AI. Мы не похожи на других, поскольку не просто идем в ногу со временем, но и стараемся его опередить, воплощая инновационные решения во всем: от продуктов и услуг до способов управления бизнес-процессами. В VS Robotics можно смело предлагать идеи и реализовывать их совместно с командой, применяя лучшие практики Scrum и Agile. Мы ставим перед собой самые амбициозные задачи и уже сейчас создаем продукты, которые в скором времени удивят мир. Сейчас мы ищем Data Scientist для развития нашего продукта в направлении с компьютерным зрением, смыслами текстов, синтезом и распознаванием звука и практически всеми другими задачами искусственного интеллекта.. Что предстоит делать? Мы ищем сотрудника, у которого есть: Будет плюсом, если вы знаете: Что мы предлагаем? Добро пожаловать в команду АБК! VS Robotics — бренд, основанный ООО «АБК» (входит в экосистему Сбера)	Полная занятость	удаленная работа	"<div class=""bloko-tag-list""><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">RND</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Python</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Linux</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Git</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">SQL</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">PyTorch</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Data Science</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Нейронные сети</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">ETL</span></div></div>"	https://rabota1000.ru/vacancy/101447379
Data Scientist (NLP)	Samokat.tech	Москва	Договорная	3–6 лет	"
                IT-сторона ритейла реального времени:
инструменты, процессы, инженерные практики
 Мы делаем ИТ для ритейла реального времени. Наши ИТ-продукты автоматизируют разные этапы цепочки создания ценности для клиента доставки: закупки, логистику, работу дарксторов, сборку и доставку заказа до двери, управление промокампаниями и остальные этапы большого процесса. Используем интеллектуальные системы прогнозирования, а разные этапы выполнения заказа автоматизируем роботическими системами. Наши ключевые направления: Быстрая доставка, Маркетплейс, Логистика. Наша цель — сделать все необходимые ИТ-инструменты и инфраструктуру, чтобы все нужные товары могли попадать домой к людям мгновенно (насколько это возможно в физическом мире). Что у нас интересного Масштаб Разрабатываем инструменты для крупнейших в России сервисов ритейла реального времени. Вызовы Мы массовые и технологичные, новые и надёжные, меняем модель потребления — тут нет готовых
                    решений,
                    но есть пространство для творчества и экспериментов. Темп В 2020 году наши ИТ-продукты помогали доставлять 1.6 миллиона заказов в месяц в 4 городах России, сейчас — более 10 миллионов заказов в месяц в более чем 100 городах. Для эффективной работы сервисов мы активно используем модели машинного обучения, число которых измеряется десятками (ценообразование, прогноз спроса, рекомендации). Каждая из моделей вносит существенный вклад в развитие бизнеса, разрабатывает их команда, каждый участник которой влияет на продукт напрямую. Наша команда активно растет и сейчас мы ищем NLP Data Scientist в направление Маркетплейс. Мы предлагаем: стать частью сильной data science команды; пул задач, у которых нет тривиальных решений; поле для экспериментов и ресурсы для их реализации; отсутствие вертикальной структуры управления и возможность обсудить реализацию любых идей. Чем предстоит заниматься: Мы ожидаем: Будет плюсом: опыт участия в полном цикле проекта машинного обучения (от постановки задачи до вывода в продакшн); опыт вывода модели в эксплуатацию; умение и желание быстро поставлять минимальное базовое решение задачи; интерес к retail или опыт работы в этой области. Стек: Python, jupyter, pycharm, sql, pyspark, sparkML, git, jira, confluence. Работа в Samokat tech Все классические условия Samokat.tech — аккредитованная IT-компания, поэтому: белая зарплата и ДМС, возможность работать удаленно или ходить в офис в Москве или Санкт-Петербурге. Сообщество Внутри — комьюнити и митапы; снаружи — митапы и конференции; собственное внешнее мероприятие Samokat Tech Meetup; Open Source; Хабр. Атмосфера Собираемся на неформальные встречи команд, проводим English-клуб и разное другое — развиваться, отдыхать и жить чуть-чуть интереснее. ООО «УМНОЕ ПРОСТРАНСТВО» работает под брендом samokat tech"	Полная занятость	удаленная работа	"<div class=""bloko-tag-list""><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Python</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">ML</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Machine Learning</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Jupyter</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Pycharm</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">SQL</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Pyspark</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">SparkML</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Git</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Jira</span></div></div>"	https://rabota1000.ru/vacancy/88087645
Chief Data Scientist	Samokat.tech	Москва	Договорная	3–6 лет	"В Samokat.tech мы делаем ИТ-решения для ритейла реального времени, которые автоматизируют закупки, логистику, работу дарксторов, сборку и доставку заказа до двери, управление промокампаниями и остальные этапы большого процесса. Мы используем интеллектуальные системы прогнозирования, а разные этапы выполнения заказа автоматизируем роботическими системами. Наша цель — сделать все необходимые ИТ-инструменты и инфраструктуру, чтобы все нужные товары могли попадать домой к людям мгновенно (насколько это возможно в физическом мире). Наши ключевые направления: Быстрая доставка, Маркетплейс, Логистика. В Samokat.tech для эффективной работы сервисов мы активно используем модели машинного обучения, число которых измеряется десятками (ценообразование, прогноз спроса, рекомендации). Каждая из моделей вносит существенный вклад в развитие бизнеса, разрабатывает их команда, каждый участник которой влияет на продукт напрямую. Сейчас мы ищем Chief Data Scientist, который сплотит и возглавит несколько data science команд Samokat.tech и в партнёрстве с продуктовой вертикалью будет работать над развитием и поддержкой сервисов прогнозирования спроса, маркетинговых алгоритмов и ценообразования. Чем предстоит заниматься Главные требования развитые навыки коммуникации, способность быстро погружаться в специфику бизнеса; структурное мышление и умение излагать свои мысли; опыт работы в электронной коммерции будет плюсом. Стек  разработка: Python, GitLab, Docker, Kubernetes, AirFlow; данные: Hadoop, PostgreSQL, Kafka; отчеты и мониторинги: Prometheus, Grafana; задачи: Jira, Confluence. Мы предлагаемВсе классические условия с запасом  Samokat.tech – аккредитованная IT-компания, поэтому: белая зарплата и ДМС, возможность работать удалённо или ходить в офис в Москве, Санкт-Петербурге или Твери. ИТ-сообщество Развиваем комьюнити по функциональным направлениям, проводим внутренние митапы. Участвуем во внешних конференциях – ходим послушать, рассказать о своём опыте и пообщаться. Делаем собственное внешнее мероприятие Samokat Tech Meetup. Помогаем нашим ребятам делиться опытом друг с другом и с внешним сообществом: готовим доклады, пишем статьи, публикуем опенсорс, дружим с экспертами и соседями по индустрии.Атмосфера Дни рождения команд, неформальные встречи, English-клуб и много другого — чтобы развиваться, отдыхать и жить чуть-чуть интереснее."	Полная занятость	полный день	"<div class=""bloko-tag-list""><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Управление командой</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Python</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">SQL</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Английский — A1 — Начальный</span></div></div>"	https://rabota1000.ru/vacancy/98928217
Data Scientist (Центр валидации моделей КИБ)	СБЕР	Москва	Договорная	3–6 лет	"В ПАО Сбербанк, в Управлении валидации, в Центре валидации моделей корпоративно-инвестиционного бизнеса открыта вакансия Data Scientist. Управление валидации Сбербанка – это, в определенном смысле, «центр знаний» по Data Science инициативам в Сбере. Сотрудники Управления получают уникальную возможность изучить бизнес-процессы Банка и подробно познакомиться с десятками моделей машинного обучения, применяющихся в Банке. Сотрудники Управления участвуют в проектах по улучшению моделей машинного обучения и оптимизации их применения в бизнес-процессах Банка. Мы создаем инструменты для оценки потенциального риска, который может сгенерировать модель, а также инструменты для проверки качества моделей по всем бизнес-направлениям. Сотрудники Центра валидаций моделей КИБ работают с моделями, построенными на табличных данных, а также NLP и с Computer Vision-моделями. Основная задача-валидация моделей, используемых в корпоративном и инвестиционном бизнесе Банка. Валидация включает в себя: Требования Условия 
  							масштабноеAgile-комьюнити
  						 
  							цифровыхлюдей
  						 
  							продуктовыхкоманд 
  						 
  							профессиональных IT-сообществ
  						 
  							серверов
  						 
  							внедрений в год,изменения каждые30 сек
  						"	Полная занятость	полный день	Не указано	https://rabota1000.ru/vacancy/110167964
Data Scientist (главный исследователь данных по КАСКО)	ВСК, САО	Москва	Договорная	1–3 года	Страховой Дом ВСК приглашает в команду Управления тарификации и риск-технологий Главного исследователя данных (data-scientist) КЛЮЧЕВЫЕ ЗАДАЧИ: Сбор и подготовка данных, первичный анализ. Типовые задачи: Основные используемые типы моделей:	Полная занятость	полный день	"<div class=""bloko-tag-list""><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Python</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Математическая статистика</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">SQL</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Pandas</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Статистический анализ</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Машинное обучение</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Data Science</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">MS SQL</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Аналитическое мышление</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Data Analysis</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Математическое моделирование</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Библиотеки: Statsmodels CatBoost GLM</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">СУБДД: MS SQL PostgreSQL Oracle</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Apache Airflow</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">MLflow</span></div></div>"	https://rabota1000.ru/vacancy/105369250
Data scientist (Дирекция цифрового развития)	Банк Русский Стандарт	Москва	Договорная	1–3 года	Банк Русский Стандарт — это Инновационные продукты и сервисы Амбициозные задачи и современные решения Креативная и дружелюбная атмосфера Банк Русский Стандарт входит в ТОП-5 лучших банков Народного рейтинга портала Banki.ru за 2022 год. Нашими продуктами пользуются более 29 млн клиентов по всей России. Обязанности: Требования: Условия: будем рады видеть тебя в нашей команде профессионалов! АО «Банк Русский Стандарт»	Полная занятость	полный день	"<div class=""bloko-tag-list""><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Английский — A1 — Начальный</span></div></div>"	https://rabota1000.ru/vacancy/99892552
Data Scientist	СБЕР	Санкт-Петербург	Договорная	1–3 года	"Мы команда Брокерский бизнес ищем коллегу на роль Data Scientist. Наши задачи: Профиль клиента (кластеризация, микро-сегментация): 4 релиза в год, порядка 2000 атрибутов, включая Розницу Модели склонности к покупке продуктов Брокера и интеграция с моделями Массперса: 5 моделей Модели CSI: обучение моделей для поиска аномалий (текст не соответствует триггеру, и др.) в оценках и обращениях: 2 модели Модели для тарифных планов: 2 модели Вам предстоит: Мы ждем, что у вас есть: Мы предлагаем: ?????????????? 
  							цифровых людей
  						 
  							внедрений в год,изменения каждые 30 сек 
 
объем хранимыхданных
  						 
  							транзакцийв секунду
  						 
  							доступк суперкомпьютеру
  						"	Полная занятость	полный день	Не указано	https://rabota1000.ru/vacancy/98948136
Senior Data Scientist команда Marketing	СберМаркет	Москва	Договорная	3–6 лет	СберМаркет — технологический онлайн-сервис, который помогает делать покупки не выходя из дома. СберМаркет был создан на основе стартапа Instamart, присоединившегося к экосистеме Сбера в сентябре 2019 года. Наша миссия: экономить время, энергию и деньги людей для чего-то более важного. СберМаркет это: Мы хотим, чтобы клиент мог заказать продукты и товары с доставкой через нашу платформу из своих любимых магазинов, поэтому сотрудничаем уже с более 60 федеральными и региональными ретейлерами. Среди наших партнеров крупнейшие торговые сети: METRO, ЛЕНТА, АШАН, О'КЕЙ, Твой Дом и многие другие. Сегодня мы работаем на одном из самых крупных и динамичных потребительских рынков. В СберМаркете по-прежнему живы дух, скорость и независимость стартапа. В то же время мы располагаем силой и мощью крупнейшей в России экосистемы Сбера.Мы находимся в поиске Senior Data Scientist в команду Маркетинга.Удобный поиск - одна из ключевых частей пользовательского опыта, поэтому он выделен в отдельный домен. Для этого нам важно улучшать Поиск с помощью решений на основе машинного обучения. Что предстоит делать: Что ждём от тебя: Наш стэк: Что мы предлагаем: Команда: А еще: Отправляй своё резюме и становись частью огромной дружной команды!  	Полная занятость	полный день	"<div class=""bloko-tag-list""><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Python</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">NLP</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Pandas</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Machine Learning</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">ML</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Data Science</span></div></div>"	https://rabota1000.ru/vacancy/114054291
Data Scientist	Совкомбанк	Москва	Договорная	3–6 лет	Хотите всё и сразу: хорошую зарплату уже на старте, стабильную работу в надежном банке, успешную карьеру и яркую корпоративную жизнь? С Совкомбанком все реально! Чем вы будете заниматься: Мы гарантируем: Откликайся на вакансию – присоединяйся к нашей команде!   Отклик на данную вакансию соискателем посредством сайта http://hh.ru является действием самого соискателя по предоставлению своего согласия в соответствии с Федеральным законом от 27.07.2006 г. № 152-ФЗ «О персональных данных» на осуществление со всеми указанными в том резюме соискателя на сайте http://hh.ru персональными данными (а также с самим резюме), которое включается в содержание отклика на данную вакансию, следующих действий: систематизацию, хранение, уточнение (обновление или изменение), использование, обезличивание, блокирование и уничтожение, для целей возможного трудоустройства соискателя у оператора персональных данных: ПАО «СОВКОМБАНК», ИНН 4401116480, г. Кострома, Текстильщиков пр-кт, дом 46, которому настоящее согласие предоставляется без ограничения срока обработки этих персональных данных, но до момента отзыва соискателем согласия на обработку этих персональных данных. Настоящее согласие на обработку персональных данных может быть отозвано соискателем путем направления соответствующего заявления по адресу оператора: г. Кострома, Текстильщиков пр-кт, дом 46.	Полная занятость	полный день	Не указано	https://rabota1000.ru/vacancy/110020884
Data Scientist команда RecSys	СберМаркет	Москва	Договорная	1–3 года	СберМаркет — технологический онлайн-сервис, который помогает делать покупки не выходя из дома. СберМаркет был создан на основе стартапа Instamart, присоединившегося к экосистеме Сбера в сентябре 2019 года. Наша миссия: экономить время, энергию и деньги людей для чего-то более важного. СберМаркет — это: Мы хотим, чтобы клиент мог заказать продукты и товары с доставкой через нашу платформу из своих любимых магазинов, поэтому сотрудничаем уже с более 60 федеральными и региональными ретейлерами. Среди наших партнеров крупнейшие торговые сети: METRO, ЛЕНТА, АШАН, О'КЕЙ, Твой Дом и многие другие. Сегодня мы работаем на одном из самых крупных и динамичных потребительских рынков. В СберМаркете по-прежнему живы дух, скорость и независимость стартапа. В то же время мы располагаем силой и мощью крупнейшей в России экосистемы Сбера. Мы находимся в поиске Data Scientist в команду Рекомендательных систем. Команда RecSys существует 2 года. За это время мы успели: Кроме того, мы сами занимаемся разработкой и развитием рекомендательной платформы, сами катим свои модели в продакшн и сами отвечаем за стабильность работы сервиса рекомендаций. Что предстоит делать: Что ждем от кандидата: Для кандидатов уровня Middle и выше: Для кандидатов уровня Senior и выше: Наш стэк: Будет плюсом, если ты: Что мы предлагаем: Команда: А еще: Отправляй своё резюме и становись частью огромной дружной команды! ООО «ИНСТАМАРТ СЕРВИС» представляет бренд СберМаркет	Полная занятость	полный день	"<div class=""bloko-tag-list""><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">ML</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Python</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Machine Learning</span></div></div>"	https://rabota1000.ru/vacancy/108607355
